timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
98.00;304.813499;flow_2.0;:junc_01_9_0;33.604753;0.000000;3.178000;vehDist71;13.416651;52.522146
98.00;304.813499;flow_2.1;:junc_01_9_0;23.582139;0.000000;2.086996;vehDist74;13.416782;52.522105
98.00;34.378470;flow_2.2;188044903#0_0;9.876062;0.000000;5.816467;vehDist45;13.416152;52.521391
99.00;304.813499;flow_2.0;:junc_01_9_0;37.032809;0.000000;3.632000;vehDist71;13.416609;52.522163
99.00;304.813499;flow_2.1;:junc_01_9_0;25.904028;0.000000;2.586996;vehDist74;13.416752;52.522114
99.00;34.378470;flow_2.2;188044903#0_0;15.721935;0.000000;5.845873;vehDist45;13.416199;52.521435
100.00;304.813499;flow_2.0;:junc_01_9_0;40.914872;0.000000;4.086000;vehDist71;13.416561;52.522183
100.00;304.813499;flow_2.1;:junc_01_9_0;28.722685;0.000000;3.086996;vehDist74;13.416715;52.522126
100.00;34.378470;flow_2.2;188044903#0_0;21.437546;0.000000;5.715612;vehDist45;13.416246;52.521478
101.00;304.813499;flow_2.0;:junc_01_9_0;45.248333;0.000000;4.540000;vehDist71;13.416508;52.522205
101.00;304.813499;flow_2.1;:junc_01_9_0;32.038110;0.000000;3.586996;vehDist74;13.416671;52.522139
101.00;34.287398;flow_2.2;188044903#1_0;0.443507;0.000000;5.845961;vehDist45;13.416292;52.521522
102.00;319.813499;flow_2.0;:junc_01_9_0;50.020875;0.000000;4.994000;vehDist71;13.416458;52.522234
102.00;304.813499;flow_2.1;:junc_01_9_0;35.880142;0.000000;4.086996;vehDist74;13.416623;52.522158
102.00;34.287398;flow_2.2;188044903#1_0;6.312296;0.000000;5.345961;vehDist45;13.416338;52.521563
103.00;319.813499;flow_2.0;:junc_01_9_0;55.245761;0.000000;5.448000;vehDist71;13.416402;52.522267
103.00;304.813499;flow_2.1;:junc_01_9_0;40.217209;0.000000;4.586996;vehDist74;13.416570;52.522179
103.00;34.287398;flow_2.2;188044903#1_0;11.394519;0.000000;4.345961;vehDist45;13.416377;52.521600
104.00;319.813499;flow_2.0;:junc_01_9_0;58.380000;0.000000;5.902000;vehDist71;13.416368;52.522286
104.00;304.813499;flow_2.1;:junc_01_9_0;45.054284;0.000000;5.086996;vehDist74;13.416511;52.522203
104.00;34.287398;flow_2.2;188044903#1_0;15.427988;0.000000;3.345961;vehDist45;13.416408;52.521629
105.00;304.813499;flow_2.0;47016365#1_0;6.065348;0.000000;6.356000;vehDist71;13.416303;52.522325
105.00;319.813499;flow_2.1;:junc_01_9_0;50.372445;0.000000;5.343000;vehDist74;13.416454;52.522236
105.00;34.287398;flow_2.2;188044903#1_0;18.937080;0.000000;3.345961;vehDist45;13.416436;52.521654
106.00;304.813499;flow_2.0;47016365#1_0;12.344894;0.000000;6.356000;vehDist71;13.416228;52.522359
106.00;319.813499;flow_2.1;:junc_01_9_0;55.695970;0.000000;5.343000;vehDist74;13.416397;52.522269
106.00;34.287398;flow_2.2;188044903#1_0;21.659605;0.000000;1.845961;vehDist45;13.416457;52.521673
107.00;304.813499;flow_2.0;47016365#1_0;18.624439;0.000000;6.356000;vehDist71;13.416153;52.522393
107.00;319.813499;flow_2.1;:junc_01_9_0;58.380000;0.000000;5.343000;vehDist74;13.416368;52.522286
107.00;34.287398;flow_2.2;188044903#1_0;23.333376;0.000000;1.345961;vehDist45;13.416470;52.521685
108.00;304.813499;flow_2.0;47016365#1_0;24.903985;0.000000;6.356000;vehDist71;13.416077;52.522427
108.00;304.813499;flow_2.1;47016365#1_0;5.266080;0.000000;5.343000;vehDist74;13.416313;52.522321
108.00;34.287398;flow_2.2;188044903#1_0;23.958393;0.000000;0.625016;vehDist45;13.416475;52.521689
109.00;304.813499;flow_2.0;47016365#1_0;31.183531;0.000000;6.356000;vehDist71;13.416002;52.522461
109.00;304.813499;flow_2.1;47016365#1_0;10.544810;0.000000;5.343000;vehDist74;13.416249;52.522349
109.00;34.287398;flow_2.2;188044903#1_0;23.958393;0.000000;0.000000;vehDist45;13.416475;52.521689
110.00;304.813499;flow_2.0;47016365#1_0;37.463076;0.000000;6.356000;vehDist71;13.415927;52.522495
110.00;304.813499;flow_2.1;47016365#1_0;15.823541;0.000000;5.343000;vehDist74;13.416186;52.522378
110.00;34.287398;flow_2.2;188044903#1_0;23.958393;0.000000;0.000000;vehDist45;13.416475;52.521689
111.00;304.813499;flow_2.0;47016365#1_0;43.742622;0.000000;6.356000;vehDist71;13.415852;52.522529
111.00;304.813499;flow_2.1;47016365#1_0;21.102272;0.000000;5.343000;vehDist74;13.416123;52.522406
111.00;34.287398;flow_2.2;188044903#1_0;23.958393;0.000000;0.000000;vehDist45;13.416475;52.521689
112.00;304.813499;flow_2.0;47016365#1_0;50.022167;0.000000;6.356000;vehDist71;13.415777;52.522563
112.00;304.813499;flow_2.1;47016365#1_0;26.381002;0.000000;5.343000;vehDist74;13.416060;52.522435
112.00;34.287398;flow_2.2;188044903#1_0;23.958393;0.000000;0.000000;vehDist45;13.416475;52.521689
113.00;304.813499;flow_2.0;47016365#1_0;56.301713;0.000000;6.356000;vehDist71;13.415702;52.522597
113.00;304.813499;flow_2.1;47016365#1_0;31.659733;0.000000;5.343000;vehDist74;13.415997;52.522463
